case_id,status,employer,soc_name,job_title,full_time,wage
187,CERTIFIED,"VMWARE, INC.","COMPUTER OCCUPATIONS, ALL OTHER",SENIOR MEMBER OF TECHNICAL STAFF - QUALITY ENGINEERING,Y,109262
188,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",COMPUTER SYSTEMS ENGINEER,Y,55432
189,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,COMPUTER PROGRAMMER,Y,63981
190,WITHDRAWN,"BROKEN HILL PROPRIETARY (USA), INC.",INDUSTRIAL SAFETY AND HEALTH ENGINEERS,ASSOCIATE HSE ANALYST GGO,Y,99507
191,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,COMPUTER PROGRAMMER,Y,63981
192,CERTIFIED,PROGRESS SOLUTIONS INC,COMPUTER PROGRAMMERS,PROGRAMMER / ANALYST,Y,63981
193,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,PROGRAMMER ANALYST,Y,63981
194,CERTIFIED,TRANS AMERICAN INFORMATION SYSTEMS INC,"SOFTWARE DEVELOPERS, APPLICATIONS",ATG TECH LEAD/ARCHITECT,Y,95077
195,CERTIFIED-WITHDRAWN,"FEDBID, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",SENIOR SOFTWARE ENGINEER,Y,87422
196,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,67059
197,CERTIFIED,"VMWARE, INC.",COMPUTER NETWORK ARCHITECTS,DOMAIN ARCHITECT,Y,131249
198,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,DEVELOPER USER INTERFACE,Y,37586
199,CERTIFIED-WITHDRAWN,JPMORGAN CHASE & CO.,FINANCIAL ANALYSTS,ANALYST,Y,61942
200,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,62754
201,CERTIFIED-WITHDRAWN,INDIANA UNIVERSITY,"BUSINESS TEACHERS, POSTSECONDARY",ASSISTANT PROFESSOR OF MARKETING,Y,35680
202,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,82451
203,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,82451
204,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,70429
205,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,DEVELOPER USER INTERFACE,Y,66082
206,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,82451
207,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,66602
208,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,66602
209,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",ANALYST - TESTING,Y,64314
210,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,DEVELOPER USER INTERFACE,Y,73403
211,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",ARCHITECT,Y,62712
212,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",SOFTWARE QUALITY ASSURANCE ENGINEER,Y,58032
213,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,72613
214,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,59467
215,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,54704
216,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",SOFTWARE QUALITY ASSURANCE ENGINEER,Y,58032
217,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,COMPUTER PROGRAMMER,Y,56347
218,CERTIFIED-WITHDRAWN,FEDERAL HOME LOAN MORTGAGE CO.,COMPUTER PROGRAMMERS,"DEVELOPMENT, SENIOR",Y,95306
219,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,WEB DEVELOPER,Y,37586
220,CERTIFIED,"VMWARE, INC.","COMPUTER OCCUPATIONS, ALL OTHER",SENIOR PRODUCT MARKETING ENGINEER,Y,109262
221,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,67205
222,CERTIFIED-WITHDRAWN,"ORACLE AMERICA, INC.","COMPUTER SOFTWARE ENGINEERS, APPLICATIONS",SOFTWARE ENGINEER (SOFTWARE DEVELOPER 2),Y,62600
223,CERTIFIED-WITHDRAWN,FEDERAL HOME LOAN MORTGAGE CO.,DATABASE ADMINISTRATORS,"DATABASE ADMINISTRATOR, PROFESSIONAL",Y,53394
224,CERTIFIED,PHILLIPS 66 COMPANY,CHEMISTS,ASSOCIATE SCIENTIST,Y,92518
225,CERTIFIED-WITHDRAWN,JACOBS PROJECT MANAGEMENT COMPANY,CIVIL ENGINEERS,PROJECT ENGINEER 2,Y,74630
226,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",ANALYST - TESTING,Y,63357
227,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,DEVELOPER USER INTERFACE,Y,55848
228,CERTIFIED-WITHDRAWN,FEDERAL HOME LOAN MORTGAGE CO.,COMPUTER PROGRAMMERS,"DEVELOPMENT, PROFESSIONAL",Y,55432
229,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",ANALYST - TESTING,Y,53435
230,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,DEVELOPER USER INTERFACE,Y,56430
231,CERTIFIED-WITHDRAWN,INFORMATICA CORPORATION,COMPUTER SYSTEMS ANALYSTS,SENIOR TECHNICAL SUPPORT ENGINEER,Y,79394
232,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,DEVELOPER USER INTERFACE,Y,58032
233,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,69056
234,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",SOFTWARE TESTER,Y,57886
235,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",ANALYST - TESTING,Y,62878
236,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,61589
237,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,62754
238,CERTIFIED,E.I. DU PONT DE NEMOURS AND COMPANY,SOIL AND PLANT SCIENTISTS,RESEARCH INVESTIGATOR - PLANT PATHOLOGY,Y,54205
239,CERTIFIED,BEHAVIOR ANALYST,REHABILITATION COUNSELORS,BEHAVIOR ANALYST,Y,27810
240,DENIED,DELL MARKETING LP,COMPUTER SUPPORT SPECIALISTS,NETWORK SUPPORT ANALYST,Y,47070
241,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,SYSTEM ADMINISTRATOR,Y,59134
242,CERTIFIED-WITHDRAWN,MAP-IT SOLUTIONS INC,COMPUTER PROGRAMMERS,QUALITY ANALYST,Y,55432
243,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",ARCHITECT,Y,76918
244,CERTIFIED,"VMWARE, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING,Y,97108
245,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,65416
246,CERTIFIED,"VMWARE, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",SENIOR MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING,Y,115310
247,CERTIFIED-WITHDRAWN,"USM BUSINESS SYSTEMS, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",SOFTWARE DEVELOPER,Y,67434
248,WITHDRAWN,INTEL CORPORATION,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER",COMPONENT DESIGN ENGINEER,Y,92768
249,WITHDRAWN,UNIVERSITY OF KANSAS MEDICAL CENTER,BIOCHEMISTS AND BIOPHYSICISTS,POSTDOCTORAL FELLOW,Y,35838
250,CERTIFIED-WITHDRAWN,JOHNS HOPKINS UNIVERSITY,BIOCHEMISTS AND BIOPHYSICISTS,POSTDOCTORAL FELLOW,Y,35838
251,CERTIFIED-WITHDRAWN,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,"COMPUTER SYSTEMS ANALYSTS, NON R&AMP;D (ACWIA",SYSTEMS ANALYST,Y,60278
252,CERTIFIED-WITHDRAWN,3MD INC. DBA DENALI ADVANCED INTEGRATION,COMPUTER AND INFORMATION SYSTEMS MANAGERS,TECHNICAL PROJECT MANAGER,Y,113630
253,CERTIFIED-WITHDRAWN,"ORACLE AMERICA, INC.","COMPUTER SOFTWARE ENGINEERS, APPLICATIONS",SOFTWARE ENGINEER (APPLICATIONS DEVELOPER 2),Y,86900
254,DENIED,"ABM MACHINING, INC.","COMPUTER SOFTWARE ENGINEERS, APPLICATIONS",SR. JAVA PROGRAMMER ANALYST,Y,20000
255,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,COMPUTER PROGRAMMER,Y,51355
256,CERTIFIED-WITHDRAWN,BILL & MELINDA GATES FOUNDATION,NATURAL SCIENCES MANAGERS,SENIOR PROGRAM OFFICER - GLOBAL DEVELOPMENT,Y,155126
257,CERTIFIED-WITHDRAWN,"INPATIENT CONSULTANTS OF MICHIGAN, P.C.",FAMILY AND GENERAL PRACTITIONERS,HOSPITALIST PHYSICIAN,Y,135720
258,CERTIFIED-WITHDRAWN,LOGICQUE INC.,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,COMPUTER SYSTEMS ADMINISTRATOR,Y,51605
259,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",COMPUTER SYSTEMS ARCHITECT,Y,64314
260,DENIED,"AC MEDICAL SYSTEMS, INC.","COMPUTER SOFTWARE ENGINEERS, APPLICATIONS",SOFTWARE PROFESSIONAL,Y,21000
261,CERTIFIED-WITHDRAWN,THE J. DAVID GLADSTONE INSTITUTES,"LIFE SCIENTISTS, ALL OTHER",RESEARCH ASSOCIATE,Y,38314
262,CERTIFIED-WITHDRAWN,"ORACLE AMERICA, INC.",COMPUTER SYSTEMS ANALYSTS,PRINCIPAL CONSULTANT,Y,85426
263,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER SYSTEMS ANALYSTS,COMPUTER SYSTEMS ANALYSTS,Y,65270
264,CERTIFIED,MAHARISHI UNIVERSITY OF MANAGEMENT,"COMPUTER SCIENCE TEACHERS, POSTSECONDARY",ASSISTANT PROFESSOR OF COMPUTER SCIENCE,Y,47800
265,CERTIFIED-WITHDRAWN,"ACS COMMERCIAL SOLUTIONS, INC.",COMPUTER SYSTEMS ANALYSTS,SBU MANAGER I,Y,66560
266,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",COMPUTER SYSTEMS ENGINEER,Y,64314
267,CERTIFIED-WITHDRAWN,ACTUATE CORPORATION,"SOFTWARE DEVELOPERS, APPLICATIONS",SOFTWARE ENGINEER,Y,88923
268,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,WEB DEVELOPER,Y,65874
269,CERTIFIED-WITHDRAWN,"CITIBANK, N.A.",COMPUTER SYSTEMS ANALYSTS,SENIOR IMPLEMENTATION MANAGER,Y,89939
270,CERTIFIED-WITHDRAWN,ARCHER DANIELS MIDLAND COMPANY,FINANCIAL ANALYSTS,MANAGER BUSINESS DEVELOPMENT - COCOA/MILLING/FINANCE,Y,71677
271,CERTIFIED-WITHDRAWN,ALTO-SHAAM INC.,MECHANICAL ENGINEERS,PROJECT ENGINEER,Y,74214
272,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,DEVELOPER USER INTERFACE,Y,60112
273,CERTIFIED-WITHDRAWN,FEDERAL HOME LOAN MORTGAGE CO.,MANAGEMENT ANALYSTS,BUSINESS ANALYSIS PROFESSIONAL,Y,62296
274,CERTIFIED,"IT CATS, LLC",COMPUTER SYSTEMS ANALYSTS,BA / QA ANALYST,Y,59883.2
275,CERTIFIED-WITHDRAWN,CREDIT SUISSE SECURITIES (USA) LLC,ACCOUNTANTS AND AUDITORS,ASSISTANT VICE PRESIDENT,Y,71906
276,CERTIFIED-WITHDRAWN,WASHINGTON STATE UNIVERSITY,"ENGINEERING TEACHERS, POSTSECONDARY",ASSISTANT PROFESSOR,Y,61530
277,CERTIFIED-WITHDRAWN,"MARLABS, INC",COMPUTER PROGRAMMERS,PROGRAMMER/ANALYST,Y,67413
278,WITHDRAWN,"IGT SOLUTIONS, INC.","COMPUTER OCCUPATIONS, ALL OTHER*",LEAD SOFTWARE ENGINEER,Y,50419
279,CERTIFIED-WITHDRAWN,"MARLABS, INC",COMPUTER PROGRAMMERS,PROGRAMMER/ANALYST,Y,62462
280,CERTIFIED,COLGATE-PALMOLIVE COMPANY,"MANAGERS, ALL OTHER","WORLDWIDE DIRECTOR, ANALYTICS SOLUTION DESIGN",Y,170394
281,CERTIFIED-WITHDRAWN,CHILDRENS HOSPITAL CORPORATION/HARVARD UNIVERSITY,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",RESEARCH FELLOW / RESEARCH FELLOW,Y,46342
282,CERTIFIED-WITHDRAWN,PFIZER INC,"SOFTWARE DEVELOPERS, APPLICATIONS","MANAGER, SENIOR SERVICE SUPPORT ANALYST",Y,128544
283,WITHDRAWN,APPLE INC.,"COMPUTER SOFTWARE ENGINEERS, APPLICATIONS",SW DEVELOP ENG 3,Y,99653
284,CERTIFIED-WITHDRAWN,SPARTAN SOLUTIONS INC,COMPUTER SYSTEMS ANALYSTS,QA ANALYST,Y,69118
285,CERTIFIED,"VMWARE, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING,Y,100545
286,CERTIFIED-WITHDRAWN,"T-MOBILE USA, INC.","SOFTWARE DEVELOPERS, APPLICATIONS","ANALYST 4, ENTERPRISE TEST",Y,75800
287,CERTIFIED-WITHDRAWN,KAPSCH TRAFFICCOM IVHS INC.,FINANCIAL ANALYSTS,FINANCIAL PLANNING & COMMERCIAL PROJECT ANALYST,Y,72114
288,WITHDRAWN,ERICSSON INC.,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS*,ENGINEER-SERVICES SOFTWARE,Y,49546
289,CERTIFIED-WITHDRAWN,"ORIGENE TECHNOLOGIES, INC.",ACCOUNTANTS AND AUDITORS,ACCOUNTANT I,Y,39700
290,CERTIFIED-WITHDRAWN,"EXTERRAN ENERGY SOLUTIONS, L.P.",MECHANICAL ENGINEERS,STAFF ENGINEER - TSA ANALYST,Y,79435
291,CERTIFIED-WITHDRAWN,THE JOHNS HOPKINS HOSPITAL,MEDICAL AND CLINICAL LABORATORY TECHNOLOGISTS,CLINCAL LABORATORY SCIENTIST 3,Y,60674
292,WITHDRAWN,BROADCOM CORPORATION,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","ENGINEER, SR STAFF - IC DESIGN",Y,112715
293,CERTIFIED-WITHDRAWN,"MARLABS, INC",COMPUTER PROGRAMMERS,PROGRAMMER/ANALYST,Y,55786
294,CERTIFIED-WITHDRAWN,"NORTH PLATTE, NEBRASKA HOSPITAL CORPORATION",FAMILY AND GENERAL PRACTITIONERS,HOSPITALIST,Y,152256
295,CERTIFIED-WITHDRAWN,HARVARD UNIVERSITY,"BIOLOGICAL SCIENTISTS, ALL OTHER",RESEARCH FELLOW,Y,33010
296,WITHDRAWN,CONOCOPHILLIPS COMPANY,PETROLEUM ENGINEERS,SR. RESERVOIR ENGINEER,Y,86900
297,WITHDRAWN,THE UNIVERSITY OF HOUSTON,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",RESEARCH ASSISTANT PROFESSOR,Y,39790
298,DENIED,DELL MARKETING LP,COMPUTER SYSTEMS ANALYSTS,COMPUTER PROGRAMMER ANALYST,Y,51854
299,CERTIFIED-WITHDRAWN,"ACCESS INTELLIGENCE, LLC",GRAPHIC DESIGNERS,WEB DESIGNER,Y,49483
300,CERTIFIED-WITHDRAWN,UNIVERSITY OF MICHIGAN,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",POSTDOCTORAL RESEARCH FELLOW,Y,38522
301,CERTIFIED-WITHDRAWN,"KESHAV CONSULTING SOLUTIONS, LLC",COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST,Y,54766
302,CERTIFIED,"ADVANCED SYSTEMS FOR POWER ENGINEERING, INC.",ELECTRICAL ENGINEERS,POWER ENGINEERING PROGRAMMER,Y,89586
303,CERTIFIED-WITHDRAWN,THE UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",POSTDOCTORAL RESEARCHER,Y,33238
304,CERTIFIED-WITHDRAWN,"MARLABS, INC",COMPUTER PROGRAMMERS,PROGRAMMER/ANALYST,Y,62296
305,WITHDRAWN,"DANIEL J. EDELMAN, INC.",PUBLIC RELATIONS AND FUNDRAISING MANAGERS,VICE PRESIDENT,Y,88525
306,CERTIFIED-WITHDRAWN,"SCHNEIDER ELECTRIC USA, INC.","ELECTRONICS ENGINEERS, EXCEPT COMPUTER",APPLICATION ENGINEER,Y,53331
307,WITHDRAWN,"INTERNATIONAL TECHNOLOGY SOLUTIONS, INC",COMPUTER SYSTEMS ANALYSTS,COMPUTER SYSTEMS ANALYST,Y,62754
308,WITHDRAWN,"INTERNATIONAL TECHNOLOGY SOLUTIONS, INC",COMPUTER SYSTEMS ANALYSTS,COMPUTER SYSTEMS ANALYST,Y,58053
309,CERTIFIED-WITHDRAWN,JOHNS HOPKINS UNIVERSITY,BIOCHEMISTS AND BIOPHYSICISTS,RESEARCH FELLOW,Y,38293
310,CERTIFIED-WITHDRAWN,"CISCO SYSTEMS, INC.",DATABASE ADMINISTRATORS,DATABASE ADMINISTRATOR,Y,94619
311,WITHDRAWN,"LANYON SOLUTION, INC.",ACCOUNTANTS AND AUDITORS,ACCOUNTANT,Y,44500
312,WITHDRAWN,EXILANT TECHNOLOGIES PVT. LTD.,COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST,Y,61963
313,CERTIFIED-WITHDRAWN,TEK TREE LLC,"SOFTWARE DEVELOPERS, APPLICATIONS",WEBSPHERE COMMERCE ARCHITECT,Y,89378
314,CERTIFIED-WITHDRAWN,JOHNS HOPKINS UNIVERSITY,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",RESEARCH ASSOCIATE,Y,44346
315,CERTIFIED-WITHDRAWN,UNIVERSITY OF MICHIGAN,"BIOLOGICAL SCIENTISTS, ALL OTHER",POSTDOCTORAL RESEARCH FELLOW,Y,37336
316,CERTIFIED-WITHDRAWN,"FOREVER 21, INC.",GRAPHIC DESIGNERS,GRAPHIC DESIGNER,Y,35443.2
317,CERTIFIED-WITHDRAWN,VINSYS INFORMATION TECHNOLOGY INC,COMPUTER PROGRAMMERS,COMPUTER PROGRAMMER / ANALYST,Y,67350
318,CERTIFIED-WITHDRAWN,MICROSOFT CORPORATION,"SOFTWARE DEVELOPERS, APPLICATIONS",SOFTWARE DEVELOPMENT ENGINEER IN TEST,Y,71906
319,CERTIFIED-WITHDRAWN,STANDARD & POOR'S FINANCIAL SERVICES LLC,ECONOMISTS,ASSOCIATE,Y,90292
320,CERTIFIED,E.I. DU PONT DE NEMOURS AND COMPANY,CHEMISTS,RESEARCH INVESTIGATOR,Y,93142
321,CERTIFIED-WITHDRAWN,ORIAN ENGINEERS INCORPORATED,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYSTS,Y,61963
322,CERTIFIED-WITHDRAWN,"CITIBANK, N.A.",FINANCIAL ANALYSTS,"ANALYST, GLOBAL TRANSACTION SERVICES",Y,62566
323,CERTIFIED,"PERKINS + WILL, INC.",INTERIOR DESIGNERS,INTERIOR DESIGNER III,Y,54038
324,CERTIFIED-WITHDRAWN,CREDIT SUISSE SECURITIES (USA) LLC,COMPUTER SYSTEMS ANALYSTS,ASSISTANT VICE PRESIDENT,Y,105456
325,CERTIFIED,"VMWARE, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING,Y,97219
326,CERTIFIED,"JOHN ZINK COMPANY, LLC","SOFTWARE DEVELOPERS, APPLICATIONS",CONTROLS ENGINEER VAPOR CONTROL SYSTEMS,Y,60486
327,CERTIFIED,"JOHN ZINK COMPANY, LLC",MECHANICAL ENGINEERS,CFD ENGINEER III,Y,71926
328,CERTIFIED,MCGLADREY LLP,ACCOUNTANTS AND AUDITORS,AUDIT SENIOR ASSOCIATE,Y,74110
329,CERTIFIED-WITHDRAWN,MICROSOFT CORPORATION,"SOFTWARE DEVELOPERS, APPLICATIONS",SOFTWARE DEVELOPMENT ENGINEER IN TEST,Y,71906
330,CERTIFIED-WITHDRAWN,"NORTHWEST ADMINISTRATORS, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",APPLICATION DEVELOPER,Y,84302
331,CERTIFIED-WITHDRAWN,THE ADMINISTRATORS OF THE TULANE ENDOWMENT FUND,"LAW TEACHERS, POSTSECONDARY",ADJUNCT ASSISTANT PROFESSOR,N,100484.8
332,CERTIFIED-WITHDRAWN,THE UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",POSTDOCTORAL RESERACHER,Y,33238
333,CERTIFIED-WITHDRAWN,VINSYS INFORMATION TECHNOLOGY INC,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",SOFTWARE ENGINEER,Y,67184
334,CERTIFIED-WITHDRAWN,ORIAN ENGINEERS INCORPORATED,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYST,Y,61963
335,WITHDRAWN,JAMES HARDIE BUILDING PRODUCTS INC.,INDUSTRIAL ENGINEERS,INDUSTRIAL SYSTEMS ENGINEER,Y,55016
336,CERTIFIED-WITHDRAWN,ORIAN ENGINEERS INCORPORATED,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYST,Y,61963
337,CERTIFIED-WITHDRAWN,"MCAFEE, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",SENIOR SOFTWARE ENGINEER (APPLICATIONS),Y,116355
338,CERTIFIED-WITHDRAWN,ORIAN ENGINEERS INCORPORATED,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYST,Y,48589
339,CERTIFIED,"VMWARE, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING,Y,100545
340,CERTIFIED-WITHDRAWN,BANK OF AMERICA N.A.,COMPUTER SYSTEMS ANALYSTS,VP; QUANTITATIVE RESEARCH ASSOCIATE,Y,97427
341,CERTIFIED-WITHDRAWN,PARADIGM INFO TECH INC,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYST,Y,59592
342,WITHDRAWN,UNITED SOFTWARE GROUP INC.,COMPUTER PROGRAMMERS,PROGRAMMER ANALYST,Y,48672
343,CERTIFIED-WITHDRAWN,"NET MATRIX SOLUTIONS, INC.",COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANLALYST,Y,65645
344,CERTIFIED-WITHDRAWN,"ORACLE AMERICA, INC.",COMPUTER SYSTEMS ANALYSTS,COMPUTER SYSTEMS ANALYST (TECHNICAL ANALYST 3-SUPPORT),Y,79102
345,CERTIFIED-WITHDRAWN,"ZAVER PHARMACEUTICALS, INC.",PHARMACISTS,PHARMACY INTERN,Y,99445
346,CERTIFIED-WITHDRAWN,"ALINDUS, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",SOFTWARE ENGINEER,Y,53684.8
347,CERTIFIED-WITHDRAWN,DARTMOUTH COLLEGE,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",RESEARCH ASSISTANT PROFESSOR OF SURGERY,Y,62171
348,CERTIFIED-WITHDRAWN,"BRUKER NANO, INC.","ELECTRONICS ENGINEERS, EXCEPT COMPUTER",TECHNICAL SUPPORT ENGINEER,Y,67725
349,CERTIFIED-WITHDRAWN,FEDERAL HOME LOAN MORTGAGE CO.,COMPUTER PROGRAMMERS,"DEVELOPMENT, SENIOR",Y,94078
350,WITHDRAWN,EMDEON BUSINESS SERVICES LLC,"SOFTWARE DEVELOPERS, APPLICATIONS",STAFF ENGINEER III,Y,61984
351,WITHDRAWN,ERICSSON INC.,DATABASE ADMINISTRATORS,DATABASE ANALYST,Y,56243
352,CERTIFIED-WITHDRAWN,"CVS RX SERVICES, INC.",PHARMACISTS,PHARMACIST,N,108804.8
353,CERTIFIED-WITHDRAWN,BETH ISRAEL DEACONESS MEDICAL CENTER,"BIOLOGICAL SCIENTISTS, ALL OTHER",RESEARCH FELLOW / RESEARCH FELLOW,Y,33010
354,CERTIFIED,"SUNERA TECHNOLOGIES, INC",COMPUTER PROGRAMMERS,PROGRAMMER ANALYST,Y,69056
355,CERTIFIED,MAHARISHI UNIVERSITY OF MANAGEMENT,EXERCISE PHYSIOLOGISTS,INSTRUCTOR OF EXERCISE AND SPORTS SCIENCE,Y,38854
356,CERTIFIED-WITHDRAWN,THE UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS,"MEDICAL SCIENTISTS, EXCEPT EDPIDEMIOLOGISTS",POSTDOCTORAL RESEARCHER,Y,33238
357,CERTIFIED,MCGLADREY LLP,COMPUTER SYSTEMS ANALYSTS,"SR. ASSOCIATE-CONSULTING, TECHNOLOGY RISK ADVISORY SERVICES",Y,66602
358,WITHDRAWN,"CADWALADER, WICKERSHAM & TAFT LLP",LAWYERS,ASSOCIATE (LAWYER),Y,82243
359,CERTIFIED-WITHDRAWN,BLUECROSS AND BLUESHIELD ASSOCIATION,"SOFTWARE DEVELOPERS, APPLICATIONS",SOFTWARE DESIGN ANALYST III,Y,105000
360,CERTIFIED-WITHDRAWN,JPMORGAN CHASE & CO.,COMPUTER SYSTEMS ANALYSTS,PERFORMANCE TESTING & ENGINEERING ANALYST,Y,74422
361,CERTIFIED-WITHDRAWN,JPMORGAN CHASE & CO.,OPERATIONS RESEARCH ANALYSTS,AVP RISK ANALYST II,Y,68099
362,CERTIFIED-WITHDRAWN,THE UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",POSTDOCTORAL RESEARCHER,Y,33238
